,Close,High,Low,Open,Volume,SharesOutstanding,MarketCap
2000-01-03,0.8377242088317871,0.8419336497619939,0.7610145719544696,0.7848695360561968,535796800,15115799552.0,12662871220.559082
2000-01-04,0.7670955657958984,0.8279013355036092,0.757272805535923,0.8101274711776825,512377600,15115799552.0,11595262809.798828
2000-01-05,0.7783206105232239,0.8274336126917551,0.7708372331201597,0.7764497536824263,778321600,15115799552.0,11764938335.859314
2000-01-06,0.7109660506248474,0.8007724789728964,0.7109660506248474,0.7942245047027412,767972800,15115799552.0,10746820309.522278
2000-01-07,0.7446436882019043,0.7558696278497519,0.7147085319293209,0.7221919088264547,460734400,15115799552.0,11255884728.521973
2000-01-10,0.7315470576286316,0.7652239326620371,0.7090952746983015,0.7633530756515028,505064000,15115799552.0,11057918685.969788
2000-01-11,0.6941279172897339,0.7437086683766948,0.6772894987351342,0.7179828889737041,441548800,15115799552.0,10492298461.198853
2000-01-12,0.6524989008903503,0.7147086570295117,0.6473532071932467,0.7109660936237121,976068800,15115799552.0,9863042593.75885
2000-01-13,0.724062979221344,0.7390305877875969,0.6922569546534616,0.7071072068487884,1032684800,15115799552.0,10944790856.933777
2000-01-14,0.7516593337059021,0.76522375582959,0.7437082307186171,0.7483853471840719,390376000,15115799552.0,11361931819.688293
2000-01-18,0.7778530716896057,0.7932892046168153,0.7516595724707817,0.7558698129610633,459177600,15115799552.0,11757871112.567566
2000-01-19,0.7974986433982849,0.813869381546901,0.7736436767507391,0.7904821417104348,597643200,15115799552.0,12054829636.600403
2000-01-20,0.8494177460670471,0.9092880611981787,0.8494177460670471,0.8643852998697675,1831132800,15115799552.0,12839628385.46112
2000-01-21,0.8330469131469727,0.8550302161060341,0.8246272836831525,0.8550302161060341,495924800,15115799552.0,12592170156.541992
2000-01-24,0.7951600551605225,0.843804489525389,0.786740373612308,0.8115307422351401,440876800,15115799552.0,12019480005.56372
2000-01-25,0.8400627374649048,0.8466116115221041,0.7661602110186276,0.7858049347051995,497145600,15115799552.0,12698219950.623901
2000-01-26,0.8246271014213562,0.8545623005666126,0.8213531653965961,0.8232239717078559,367158400,15115799552.0,12464897970.231995
2000-01-27,0.8232244849205017,0.8456763229372577,0.8007726968638877,0.8143371252192084,340144000,15115799552.0,12443696300.35675
2000-01-28,0.7605469226837158,0.8297723888741849,0.7530635435432974,0.8096599862145474,423348800,15115799552.0,11496274833.17749
2000-01-31,0.776449978351593,0.7773854320227325,0.7072245581620794,0.7558698976662456,701680000,15115799552.0,11736662234.91742
2000-02-01,0.7502564191818237,0.7858050049074052,0.7483856119019977,0.7783207765853667,318035200,15115799552.0,11340725644.953735
2000-02-02,0.7394983172416687,0.7642886891142052,0.7259338391840493,0.7539990483426823,464195200,15115799552.0,11178108332.46637
2000-02-03,0.7731759548187256,0.780192456097469,0.7502563931695573,0.7507241199533655,475193600,15115799552.0,11687172751.466064
2000-02-04,0.8082568645477295,0.8232244223537211,0.7755145387299289,0.7778531228393474,425320000,15115799552.0,12217448751.031494
2000-02-07,0.85362708568573,0.8550302657509482,0.7928213172296956,0.8082566476679697,441067200,15115799552.0,12903255919.383423
2000-02-08,0.8597082495689392,0.8690623838463876,0.832579301727407,0.8531593763562594,408643200,15115799552.0,12995177573.684875
2000-02-09,0.8428688049316406,0.8765465226905502,0.8414657248987353,0.8540947441580243,299364800,15115799552.0,12740635903.980469
2000-02-10,0.8494177460670471,0.852224006279667,0.8232242021714747,0.8447405790991808,302982400,15115799552.0,12839628385.46112
2000-02-11,0.8138692378997803,0.854094885636017,0.8101275239918275,0.8503531717280642,212251200,15115799552.0,12302284261.63208
2000-02-14,0.866723895072937,0.8671916217950338,0.8129337732678228,0.8180786173305026,367539200,15115799552.0,13101224664.851196
