,Close,High,Low,Open,Volume,SharesOutstanding,MarketCap
2000-01-03,35.29999923706055,36.58000183105469,34.81999969482422,36.5,875000,2157609984.0,76163630789.07422
2000-01-04,34.08000183105469,34.65999984741211,33.900001525878906,34.5,1380000,2157609984.0,73531352205.42188
2000-01-05,34.63999938964844,35.459999084472656,33.900001525878906,34.13999938964844,995000,2157609984.0,74739608528.85938
2000-01-06,36.08000183105469,36.08000183105469,34.540000915527344,34.900001525878906,915000,2157609984.0,77846572173.42188
2000-01-07,36.400001525878906,36.959999084472656,36.099998474121094,36.599998474121094,1000000,2157609984.0,78537006709.85156
2000-01-10,36.2599983215332,37.7599983215332,36.119998931884766,36.900001525878906,1010000,2157609984.0,78234934398.36328
2000-01-11,35.58000183105469,35.959999084472656,35.29999923706055,35.79999923706055,725000,2157609984.0,76767767181.42188
2000-01-12,34.900001525878906,35.68000030517578,34.720001220703125,35.5,515000,2157609984.0,75300591733.85156
2000-01-13,35.20000076293945,35.459999084472656,35.02000045776367,35.20000076293945,615000,2157609984.0,75947873082.92578
2000-01-14,34.02000045776367,35.70000076293945,34.02000045776367,35.599998474121094,1345000,2157609984.0,73401892643.35547
2000-01-18,34.0,34.380001068115234,33.79999923706055,34.08000183105469,1375000,2157609984.0,73358739456.0
2000-01-19,34.18000030517578,34.2599983215332,33.540000915527344,34.099998474121094,885000,2157609984.0,73747109911.57031
2000-01-20,34.0,34.68000030517578,34.0,34.18000030517578,815000,2157609984.0,73358739456.0
2000-01-21,34.220001220703125,34.2599983215332,33.880001068115234,34.0,710000,2157609984.0,73833416286.28125
2000-01-24,34.0,34.79999923706055,33.7599983215332,34.70000076293945,660000,2157609984.0,73358739456.0
2000-01-25,34.060001373291016,34.459999084472656,33.79999923706055,33.900001525878906,625000,2157609984.0,73488199018.0664
2000-01-26,34.13999938964844,34.47999954223633,34.0,34.15999984741211,530000,2157609984.0,73660803536.85938
2000-01-27,33.91999816894531,34.400001525878906,33.720001220703125,34.13999938964844,470000,2157609984.0,73186126706.57812
2000-01-28,33.20000076293945,33.86000061035156,33.08000183105469,33.79999923706055,985000,2157609984.0,71632653114.92578
2000-01-31,32.91999816894531,33.65999984741211,32.91999816894531,33.2400016784668,1120000,2157609984.0,71028516722.57812
2000-02-01,33.5,33.560001373291016,33.060001373291016,33.31999969482422,525000,2157609984.0,72279934464.0
2000-02-02,32.79999923706055,33.36000061035156,32.70000076293945,33.29999923706055,1040000,2157609984.0,70769605829.07422
2000-02-03,33.400001525878906,33.47999954223633,33.0,33.0,600000,2157609984.0,72064176757.85156
2000-02-04,33.099998474121094,33.65999984741211,33.0,33.540000915527344,620000,2157609984.0,71416887178.14844
2000-02-07,33.279998779296875,33.400001525878906,32.81999969482422,32.97999954223633,770000,2157609984.0,71805257633.71875
2000-02-08,32.70000076293945,33.099998474121094,32.599998474121094,32.900001525878906,1035000,2157609984.0,70553848122.92578
2000-02-09,31.760000228881836,32.7599983215332,31.540000915527344,32.2599983215332,1760000,2157609984.0,68525693585.677734
2000-02-10,30.959999084472656,31.959999084472656,30.0,31.899999618530273,2220000,2157609984.0,66799603129.28906
2000-02-11,30.139999389648438,31.360000610351562,29.700000762939453,31.200000762939453,2525000,2157609984.0,65030363600.859375
2000-02-14,28.479999542236328,29.579999923706055,28.31999969482422,29.5,2715000,2157609984.0,61448731356.64453
2000-02-15,30.639999389648438,30.799999237060547,30.020000457763672,30.399999618530273,2290000,2157609984.0,66109168592.859375
2000-02-16,33.279998779296875,34.0,31.200000762939453,31.34000015258789,2215000,2157609984.0,71805257633.71875
2000-02-17,33.2599983215332,34.18000030517578,32.099998474121094,34.0,975000,2157609984.0,71762104446.36328
2000-02-18,33.720001220703125,33.720001220703125,31.0,33.18000030517578,1010000,2157609984.0,72754611294.28125
2000-02-22,32.400001525878906,32.65999984741211,32.0,32.599998474121094,825000,2157609984.0,69906566773.85156
2000-02-23,32.31999969482422,32.58000183105469,32.0,32.400001525878906,610000,2157609984.0,69733954024.42969
2000-02-24,30.780000686645508,32.099998474121094,30.399999618530273,32.099998474121094,745000,2157609984.0,66411236789.0332
2000-02-25,29.799999237060547,30.940000534057617,29.600000381469727,30.8799991607666,1770000,2157609984.0,64296775877.07422
2000-02-28,29.200000762939453,29.760000228881836,29.040000915527344,29.700000762939453,2225000,2157609984.0,63002213178.92578
2000-02-29,28.799999237060547,29.6200008392334,28.700000762939453,29.600000381469727,1900000,2157609984.0,62139165893.07422
2000-03-01,29.34000015258789,29.459999084472656,28.739999771118164,28.739999771118164,1105000,2157609984.0,63304277259.78516
2000-03-02,29.360000610351562,29.579999923706055,29.040000915527344,29.399999618530273,715000,2157609984.0,63347430447.140625
2000-03-03,29.3799991607666,29.940000534057617,29.200000762939453,29.600000381469727,725000,2157609984.0,63390579519.18164
2000-03-06,28.899999618530273,29.399999618530273,28.68000030517578,29.0,885000,2157609984.0,62354927714.53711
2000-03-07,29.0,29.219999313354492,28.540000915527344,29.100000381469727,950000,2157609984.0,62570689536.0
2000-03-08,28.780000686645508,29.040000915527344,28.5,29.040000915527344,1010000,2157609984.0,62096016821.0332
2000-03-09,28.0,28.540000915527344,27.719999313354492,28.5,1805000,2157609984.0,60413079552.0
2000-03-10,27.399999618530273,28.299999237060547,27.020000457763672,27.84000015258789,2135000,2157609984.0,59118512738.53711
2000-03-13,29.760000228881836,30.1200008392334,28.940000534057617,29.0,1720000,2157609984.0,64210473617.677734
2000-03-14,29.100000381469727,29.84000015258789,29.0,29.559999465942383,1010000,2157609984.0,62786451357.46289
2000-03-15,32.52000045776367,32.900001525878906,29.399999618530273,29.440000534057617,1630000,2157609984.0,70165477667.35547
2000-03-16,34.040000915527344,34.2599983215332,32.880001068115234,32.900001525878906,2375000,2157609984.0,73445045830.71094
2000-03-17,34.0,36.599998474121094,33.599998474121094,34.08000183105469,2115000,2157609984.0,73358739456.0
2000-03-20,33.560001373291016,34.560001373291016,33.099998474121094,34.060001373291016,935000,2157609984.0,72409394026.0664
