,Close,High,Low,Open,Volume,SharesOutstanding,MarketCap
2004-08-19,2.4772915840148926,2.5691336841907755,2.369153957091815,2.468896496182753,897427216,12190199808.0,30198679391.81836
2004-08-20,2.6740622520446777,2.6930725552117534,2.481241369527039,2.4938323453286393,458857488,12190199808.0,32597353151.45508
2004-08-23,2.7009732723236084,2.801704161502194,2.692332396416163,2.7343033442111193,366857939,12190199808.0,32925403865.692383
2004-08-24,2.589132308959961,2.75528849399456,2.557036377465376,2.7464008843736614,306396159,12190199808.0,31562040175.570312
2004-08-25,2.617030143737793,2.6664087666052483,2.5646895361363398,2.591353543448542,184645512,12190199808.0,31902120355.722656
2004-08-26,2.6641862392425537,2.665173646252759,2.583946775748797,2.5911065400796187,142572401,12190199808.0,32476962582.09082
2004-08-27,2.6207339763641357,2.6817161787585087,2.6093771392391973,2.6688775218314027,124826132,12190199808.0,31947270815.493164
2004-08-30,2.518522024154663,2.6044396870246995,2.518522024154663,2.599254262944314,104429967,12190199808.0,30701286695.293945
2004-08-31,2.527409553527832,2.5604926542682565,2.522225075437888,2.52568170927768,98825037,12190199808.0,30809627454.152344
2004-09-01,2.475069046020508,2.5422228937524807,2.460749279181766,2.535556832069169,183633734,12190199808.0,30171586209.585938
2004-09-02,2.5061769485473633,2.5274097477611375,2.442726229871068,2.448898824535761,303810504,12190199808.0,30550797756.996094
2004-09-03,2.4691429138183594,2.511855476023422,2.452108133726737,2.492351469355443,103538639,12190199808.0,30099345473.953125
2004-09-07,2.5079057216644287,2.5182753885543847,2.4592687059853198,2.4938329230540104,117506800,12190199808.0,30571871846.71582
2004-09-08,2.525681972503662,2.5437051080656325,2.481241794851424,2.487166474378352,100186120,12190199808.0,30788567896.283203
2004-09-09,2.525928497314453,2.535803513824379,2.493585833031476,2.531359709127937,81620792,12190199808.0,30791573082.984375
2004-09-10,2.600489377975464,2.630856758849117,2.5009926195495025,2.5083993554540287,174804764,12190199808.0,31700485116.10254
2004-09-13,2.6540639400482178,2.6765308797309117,2.62838733626733,2.632584407522747,157628624,12190199808.0,32353569732.395508
2004-09-14,2.7525734901428223,2.765164467436463,2.636534479982266,2.6528297702517403,217608605,12190199808.0,33554420831.04492
2004-09-15,2.7651641368865967,2.8202207049414483,2.7207239668983316,2.729612520832668,215279909,12190199808.0,33707903330.563477
2004-09-16,2.8138015270233154,2.858982140309759,2.75652363980401,2.7735584222254603,186207345,12190199808.0,34300802834.469727
2004-09-17,2.9007070064544678,2.9007070064544678,2.8034318126052984,2.824911343090493,190350817,12190199808.0,35360197993.14551
2004-09-20,2.9468753337860107,3.002178643240565,2.882931148105933,2.8873749530309514,213585582,12190199808.0,35922999128.118164
2004-09-21,2.9093475341796875,2.9730449718904506,2.90120036337284,2.957984770791169,145262446,12190199808.0,35465527752.5625
2004-09-22,2.9226794242858887,2.954528621023466,2.883918141463971,2.8984848778093872,152344894,12190199808.0,35628046156.77539
2004-09-23,2.9829213619232178,3.02760826818862,2.8891025631533553,2.9340373846976164,171524515,12190199808.0,36362407413.39551
2004-09-24,2.9584789276123047,3.06390035146174,2.95675108336039,2.9858831377382526,183336625,12190199808.0,36064449255.35156
2004-09-27,2.919717788696289,2.984402410108954,2.908360952181124,2.951812774946528,141994242,12190199808.0,35591943227.17969
2004-09-28,3.132042646408081,3.1453740606388716,2.9678612781281664,2.994772021878586,340190355,12190199808.0,38180225666.8916
2004-09-29,3.2362301349639893,3.3335043887601405,3.1164887060633513,3.1280925122007854,613229953,12190199808.0,39450291969.881836
2004-09-30,3.199690341949463,3.266350724810624,3.184876871017007,3.207097077415691,276468402,12190199808.0,39004864592.0918
2004-10-01,3.273263692855835,3.314247234411555,3.1824075820187128,3.2293169845016303,303934969,12190199808.0,39901738440.18457
2004-10-04,3.334491729736328,3.379178875944564,3.309062095647742,3.3391834499586945,261693228,12190199808.0,40648120443.609375
2004-10-05,3.416212320327759,3.4201624216716264,3.2648696017697905,3.3246169525260716,300887589,12190199808.0,41644310771.34668
2004-10-06,3.384363889694214,3.41818766464473,3.3577001161823765,3.395967695828281,268900140,12190199808.0,41256072038.35254
2004-10-07,3.428062677383423,3.4534925464736084,3.371278260173843,3.3804137848407247,283643194,12190199808.0,41788768991.65137
2004-10-08,3.40041184425354,3.4485553906131163,3.3828824119722833,3.4248543087256373,222442656,12190199808.0,41451699810.94043
2004-10-11,3.339430093765259,3.4283106802074377,3.3046182018426933,3.382388449102857,210437827,12190199808.0,40708320087.84668
2004-10-12,3.3922643661499023,3.397448608073297,3.2935080552654536,3.3191846582818294,234419380,12190199808.0,41352380424.92578
2004-10-13,3.478675365447998,3.5441016022587872,3.458430920358605,3.5384224752975673,397203256,12190199808.0,42405747771.978516
2004-10-14,3.5058329105377197,3.5152151687836577,3.4209038458005216,3.481391393987261,209835578,12190199808.0,42736803672.91699
2004-10-15,3.557927131652832,3.5922455586474293,3.504599107070514,3.5781725244265554,265150137,12190199808.0,43371842637.15234
2004-10-18,3.6826064586639404,3.6835936294477643,3.486328924790308,3.5354598734943368,282061287,12190199808.0,44891708545.34473
2004-10-19,3.6524860858917236,3.7625992331194142,3.6379195855711135,3.7156898318192284,363918964,12190199808.0,44524535182.95996
2004-10-20,3.468552827835083,3.6784094588379674,3.446579592162546,3.654707433502138,456613107,12190199808.0,42282352015.913086
2004-10-21,3.688037872314453,3.706554474654514,3.4964518116119296,3.5650867725174478,585767401,12190199808.0,44957918562.984375
2004-10-22,4.257119178771973,4.448211530879604,4.0509656771538305,4.210456746534116,1481207196,12190199808.0,51895133395.69922
2004-10-25,4.626712322235107,4.800276184483651,4.260080825538311,4.355133768412495,1315480331,12190199808.0,56400547662.18164
2004-10-26,4.488454341888428,4.756082783480215,4.444013933135324,4.600542298183828,895628499,12190199808.0,54715155256.70508
2004-10-27,4.5914082527160645,4.679053526223854,4.487714420907874,4.511168769902784,536262538,12190199808.0,55970184000.708984
2004-10-28,4.772377014160156,4.799287519707167,4.582272086122386,4.608935858072089,596097978,12190199808.0,58176229361.71875
2004-10-29,4.7067060470581055,4.936559726185892,4.705718167058235,4.910389414246736,849672890,12190199808.0,57375687151.16016
2004-11-01,4.839777946472168,4.880267781599616,4.7222590147630426,4.7785497265741474,490828877,12190199808.0,58997860193.84766
2004-11-02,4.8111395835876465,4.9192769713621125,4.77336570701896,4.90767340141511,455553149,12190199808.0,58648752828.11133
2004-11-03,4.732133865356445,4.977295360652545,4.70942019454403,4.892859532225221,557630330,12190199808.0,57685657336.89844
2004-11-04,4.560052871704102,4.700780387282807,4.526723031367699,4.652389868178517,578544429,12190199808.0,55587955641.11719
2004-11-05,4.1810760498046875,4.500798352011022,4.161325545829791,4.492898150421063,796297573,12190199808.0,50968152459.5625
2004-11-08,4.260080337524414,4.331432665249135,4.182310100568882,4.220085390583403,449349985,12190199808.0,51931230512.55469
2004-11-09,4.165029525756836,4.3255075344441165,4.08034600744415,4.2983498193951455,444226854,12190199808.0,50772542125.19531
2004-11-10,4.144290447235107,4.259341115461685,4.106516566550181,4.213666558871451,427355853,12190199808.0,50519728614.18164
2004-11-11,4.518574237823486,4.536597132891935,4.137129329794825,4.175644819033024,601666773,12190199808.0,55082322806.34961
2004-11-12,4.493391990661621,4.685966155948575,4.379823156521595,4.573137995310956,672354740,12190199808.0,54775346181.83203
2004-11-15,4.564249515533447,4.649426497038943,4.413153536570969,4.455124247946857,477844390,12190199808.0,55639113567.91992
2004-11-16,4.259833335876465,4.430927940945932,4.217615898647403,4.382290704211233,839832142,12190199808.0,51928219513.11328
2004-11-17,4.258846759796143,4.38229155916199,4.172435636574932,4.172929576480116,728034662,12190199808.0,51916192953.56836
2004-11-18,4.13638973236084,4.306249752951391,4.091702588535037,4.204284015739003,667677273,12190199808.0,50423417321.23828
2004-11-19,4.182310104370117,4.196630105712978,4.1112059281749795,4.174903370113363,352086780,12190199808.0,50983195831.28906
2004-11-22,4.076148509979248,4.184779837786858,3.9825778587644103,4.060594838825817,496582362,12190199808.0,49689064783.728516
2004-11-23,4.135895729064941,4.217616546816732,4.110712830329431,4.147005831448255,498393124,12190199808.0,50417395322.35547
2004-11-24,4.314643859863281,4.375131407711674,4.259093820218564,4.316124734188584,613531078,12190199808.0,52596370752.09375
2004-11-26,4.428954601287842,4.444755481063209,4.328470667287849,4.340321445286833,260175560,12190199808.0,53989841530.259766
2004-11-29,4.469938278198242,4.516846976437534,4.3825387925305375,4.452902785229114,428263241,12190199808.0,54489440740.66406
2004-11-30,4.492899417877197,4.51808232197248,4.450187552515096,4.461544390923019,309154460,12190199808.0,54769341621.16992
2004-12-01,4.443027973175049,4.5057370810497055,4.432905275849024,4.492158694512318,315743063,12190199808.0,54161398745.53711
2004-12-02,4.429200649261475,4.481294050365156,4.408214586930107,4.441544418665822,251374696,12190199808.0,53992840904.2207
2004-12-03,4.453889846801758,4.470184190499817,4.384760480373759,4.442780217402541,235647968,12190199808.0,54293807155.33594
2004-12-06,4.352418899536133,4.461297932790042,4.34575283627569,4.422535694273472,251097661,12190199808.0,53056856033.46094
2004-12-07,4.232429504394531,4.350196588555874,4.210703239715896,4.345257662424533,275866153,12190199808.0,51594161331.84375
2004-12-08,4.196630954742432,4.2879805381669645,4.165769870875518,4.205766243953745,302802741,12190199808.0,51157769858.74805
2004-12-09,4.2818074226379395,4.2835359758838525,4.159350036600698,4.203296505848381,307307563,12190199808.0,52196088021.333984
2004-12-10,4.237860679626465,4.31760620463019,4.228973071044761,4.281807146035226,173335277,12190199808.0,51660368443.11328
2004-12-13,4.2082343101501465,4.275636074740996,4.183545822456706,4.250699908085399,193466452,12190199808.0,51299217079.61133
2004-12-14,4.4116716384887695,4.414881066104952,4.187248985571489,4.221813433857347,445198482,12190199808.0,53779158760.46484
2004-12-15,4.438582897186279,4.4610498396440015,4.361554258003777,4.3943906312373455,460559845,12190199808.0,54107212381.072266
2004-12-16,4.356861114501953,4.456110875419134,4.344023406055263,4.368712361331256,344197318,12190199808.0,53111007521.484375
2004-12-17,4.445988655090332,4.456358083584328,4.358836865292724,4.364021106869994,296555412,12190199808.0,54197490049.65234
2004-12-20,4.567952632904053,4.652882884930869,4.49018238275668,4.493392283255973,394854485,12190199808.0,55684255308.58008
2004-12-21,4.536597728729248,4.638562991792394,4.527955907753253,4.599801709227364,221479058,12190199808.0,55302032761.728516
2004-12-22,4.599555492401123,4.613133877735578,4.51832860534121,4.540301606317394,156865776,12190199808.0,56069500480.353516
2004-12-23,4.63905668258667,4.656339380032104,4.592148462009536,4.627946579658792,145125936,12190199808.0,56551027881.36914
2004-12-27,4.738059997558594,4.772377715434637,4.668683888236017,4.669918974413227,245079187,12190199808.0,57757898072.53125
2004-12-28,4.759045124053955,4.778549366668669,4.715839331864013,4.742996569636124,166453579,12190199808.0,58013710957.50586
2004-12-29,4.762502670288086,4.777809608875746,4.734850542037862,4.734850542037862,107525527,12190199808.0,58055859136.94531
2004-12-30,4.878540515899658,4.894094187401129,4.736578876722863,4.764230058356486,237057231,12190199808.0,59470383660.240234
2004-12-31,4.759786128997803,4.934830857552431,4.7541070021235825,4.918783247356287,307889737,12190199808.0,58022743955.83008
2005-01-03,5.004701137542725,5.027661543722732,4.825706299435417,4.873601926045679,636143518,12190199808.0,61008306845.9707
2005-01-04,4.802004814147949,5.01013267620261,4.776821439263976,4.972358795551179,552298420,12190199808.0,58537398163.44141
2005-01-05,4.777563095092773,4.861258266581843,4.7459608639253315,4.776081275222451,330698912,12190199808.0,58239448724.50781
2005-01-06,4.6551055908203125,4.8365696736737025,4.634613464093617,4.816324280585226,417041336,12190199808.0,56746667279.4375
2005-01-07,4.785957336425781,4.795833299744783,4.660783968087283,4.706705732244182,387964757,12190199808.0,58341776203.59375
2005-01-10,4.815831184387207,4.890885483169429,4.736085164758874,4.802005118855311,302714411,12190199808.0,58705944379.27734
2005-01-11,4.7783026695251465,4.8812558036080045,4.76941364302724,4.829655869773214,279391317,12190199808.0,58248464284.61133
2005-01-12,4.823730945587158,4.837310276216054,4.70324930473704,4.797807370511736,328338096,12190199808.0,58802244046.740234
2005-01-13,4.8224968910217285,4.873355689534693,4.790894660426852,4.823731031886582,275002929,12190199808.0,58787200675.01367
2005-01-14,4.937054634094238,4.938041568758908,4.792870475099951,4.839038503534615,387057368,12190199808.0,60183682452.62109
2005-01-18,5.03408145904541,5.061732643133067,4.904711258430444,4.961742180113594,528878966,12190199808.0,61366458835.51172
2005-01-19,4.871133804321289,5.0686454866882515,4.856567067231746,5.052597875197335,451995865,12190199808.0,59380094366.17969
