,Close,High,Low,Open,Volume,SharesOutstanding,MarketCap
2000-01-03,23.149084091186523,23.541441448664262,22.99214114819543,23.384498505673168,4642400,2407620096.0,55734200061.93457
2000-01-04,22.301593780517578,22.992142778647608,22.28589948510553,22.882282710763285,7822200,2407620096.0,53693765358.802734
2000-01-05,22.53700828552246,22.803811308401208,22.207428080789892,22.301593853570626,8229600,2407620096.0,54260554051.94238
2000-01-06,23.24325942993164,23.588534046716582,22.631181700176523,22.678264602465376,5356400,2407620096.0,55960938500.04492
2000-01-07,24.231977462768555,24.341837464218933,23.510040310380376,23.63559459775223,9863800,2407620096.0,58341395905.180664
2000-01-10,23.61991310119629,24.341850644488666,23.61991310119629,24.279073466811067,4928600,2407620096.0,56867777448.21387
2000-01-11,23.69837760925293,23.83962621752,23.337408943681528,23.35310323348898,6153000,2407620096.0,57056690174.63379
2000-01-12,23.478654861450195,23.87101206167496,23.400183421405238,23.572820589504136,5163200,2407620096.0,56527681271.475586
2000-01-13,23.44727325439453,24.106433546686745,23.368801791026407,23.588521888457148,4659200,2407620096.0,56452126283.68359
2000-01-14,23.52574920654297,23.698386458892518,23.306029067189,23.588526389215534,5404800,2407620096.0,56641066563.12891
2000-01-18,22.92936134338379,23.368801533400728,22.86658417338137,23.101998560890443,4870000,2407620096.0,55205191158.77637
2000-01-19,23.007823944091797,23.11768394928187,22.75671536080021,22.850881079534556,5507400,2407620096.0,55394099293.02539
2000-01-20,23.0863037109375,23.18046946366736,22.6154749472882,23.164775171545717,4823400,2407620096.0,55583048756.8125
2000-01-21,22.568389892578125,23.039218610782118,22.505612730150926,23.039218610782118,8538000,2407620096.0,54336109039.734375
2000-01-24,21.014657974243164,22.646864418844572,20.983269388770058,22.63117012610802,11304200,2407620096.0,50595312849.35449
2000-01-25,21.407012939453125,21.830758796759014,20.983267082147233,21.06173853720388,12956800,2407620096.0,51539954548.359375
2000-01-26,20.967573165893555,21.815064895652725,20.857713126850697,21.658121982734357,9491400,2407620096.0,50481950518.555664
2000-01-27,20.214248657226562,21.077434741191983,20.214248657226562,21.03035186388478,12406600,2407620096.0,48668231292.67969
