,Close,High,Low,Open,Volume,SharesOutstanding,MarketCap
2000-01-03,22.793855667114258,23.575806735863054,22.55927052546388,23.380318521240206,12019200,2815340032.0,64172454343.256836
2000-01-04,22.293710708618164,22.39200689309174,21.762908072698686,22.215072681118578,11723400,2815340032.0,62764376219.799805
2000-01-05,22.156103134155273,22.824522125380135,21.703938351782657,22.097125040808038,8714550,2815340032.0,62376964106.70801
2000-01-06,22.470653533935547,22.942478280054928,21.939850694551243,22.05780688108109,8369250,2815340032.0,63262530439.291016
2000-01-07,22.883501052856445,23.119413434844656,22.333038228261074,22.844182922481288,6571950,2815340032.0,64424836586.4209
2000-01-10,22.490299224853516,23.080079783198737,22.490299224853516,22.88348566379452,4723500,2815340032.0,63317839739.38867
2000-01-11,21.95950698852539,22.156099399970145,21.46802236017697,22.01848507193247,8405550,2815340032.0,61823479107.7793
2000-01-12,22.097116470336914,22.29371063853391,21.861204188447665,21.920182258919976,7271850,2815340032.0,62210896590.706055
2000-01-13,22.431331634521484,22.804858295833444,22.195419301116765,22.372353551170303,6918900,2815340032.0,63151825921.73633
2000-01-14,23.23735237121582,23.827132888251754,22.90314401151789,23.257012321739452,9731850,2815340032.0,65421048368.37402
2000-01-18,22.33302879333496,23.43395397742319,22.097116511011464,23.257019765680568,5296650,2815340032.0,62875069997.68457
2000-01-19,23.316003799438477,23.709190437247667,22.726222942790525,22.726222942790525,15734700,2815340032.0,65642478882.82324
2000-01-20,23.296342849731445,23.90578364238093,22.883496267584306,23.709189431878585,7770300,2815340032.0,65587126624.0459
2000-01-21,22.942466735839844,23.276675162884196,22.844170563148605,23.23735705378123,5160600,2815340032.0,64590845034.23828
2000-01-24,22.962133407592773,23.45361621469342,22.706561123990067,23.394638133851885,6459150,2815340032.0,64646213402.52051
2000-01-25,23.473268508911133,23.827136878392203,22.96212590850545,22.96212590850545,7579950,2815340032.0,66085232515.02246
2000-01-26,24.672496795654297,24.84943103132066,23.5912314221816,23.709187579292507,8386650,2815340032.0,69461467918.19727
2000-01-27,25.380229949951172,25.635800385631786,24.711811226137872,24.98704161835848,8165850,2815340032.0,71453977399.46289
2000-01-28,24.122028350830078,25.02635927200699,24.10236839606503,25.02635927200699,7500000,2815340032.0,67911712069.13086
2000-01-31,25.380229949951172,25.635800385631786,24.161348641828813,24.161348641828813,7160250,2815340032.0,71453977399.46289
2000-02-01,26.34354591369629,26.579458270534968,25.576830753970583,25.9306992892286,9651000,2815340032.0,74166039395.65918
2000-02-02,25.91104507446289,26.48116609041006,25.596494617456496,26.10763753520676,7126200,2815340032.0,72948402469.0918
2000-02-03,26.166601181030273,26.697403771628792,25.242612086240616,26.264899156978853,9200250,2815340032.0,73667879806.33301
2000-02-04,25.714435577392578,26.205920037772632,25.655457514141677,25.95034783039618,5115150,2815340032.0,72394879881.31836
2000-02-07,25.852048873901367,26.225575367681717,25.7144328078485,25.852048873901367,4684200,2815340032.0,72782308103.91504
2000-02-08,26.75638198852539,27.09059222885175,26.422173548066766,26.441833503341183,6318600,2815340032.0,75328313323.7793
2000-02-09,26.06830596923828,27.169229301618206,25.93068987774037,26.717064715079054,9818550,2815340032.0,73391145361.6211
2000-02-10,26.146953582763672,26.34354601430105,25.596490814748417,26.146953582763672,6880500,2815340032.0,73612565136.40039
2000-02-11,25.989660263061523,26.73671676765885,25.79306796173992,26.186254364250388,7052550,2815340032.0,73169730956.67676
2000-02-14,24.869094848632812,26.24525092795755,24.869094848632812,25.871722412172765,5904750,2815340032.0,70014958286.96094
2000-02-15,25.49818992614746,25.950354595661278,25.046023456765525,25.18363957351674,8965500,2815340032.0,71786074842.62207
2000-02-16,25.00670623779297,25.852059328492032,24.849431955750333,25.478530883789062,4829700,2815340032.0,70402381139.72266
2000-02-17,24.652847290039062,25.63581508282755,24.475912979345,25.360584532815302,5716200,2815340032.0,69406147878.42969
2000-02-18,23.512596130371094,24.71181780102115,23.45361804492713,24.55454350646002,8121300,2815340032.0,66195953142.08203
2000-02-22,24.29897117614746,24.81011398280934,23.630552275229366,23.90578454024358,7068600,2815340032.0,68409866288.62207
2000-02-23,24.338289260864258,24.90841195186193,24.082718757876098,24.338289260864258,4452900,2815340032.0,68520560066.506836
2000-02-24,23.905773162841797,24.397255773844744,23.473266809281128,24.29895961161765,5199900,2815340032.0,67302880181.259766
2000-02-25,23.86646270751953,24.77079387761058,23.55191414390644,24.10237503016344,4644300,2815340032.0,67192207882.71484
2000-02-28,24.51521873474121,25.242615577988136,24.02373598648364,24.141692134044334,6051000,2815340032.0,69018676697.15332
2000-02-29,25.0460205078125,25.47852696677232,24.43658163367356,24.43658163367356,6166950,2815340032.0,70513064177.9375
2000-03-01,25.793088912963867,25.793088912963867,24.810119408439817,25.12466986587176,4866300,2815340032.0,72616315765.60254
2000-03-02,25.34090805053711,25.51784224592457,25.08533763488925,25.321249895405863,3583800,2815340032.0,71343272881.9082
2000-03-03,25.517845153808594,25.911033499387173,24.96738434978725,25.79307735568718,5981400,2815340032.0,71841410991.89453
2000-03-06,26.245241165161133,26.540131515331485,25.871712788322736,26.0879669116929,5691450,2815340032.0,73889278101.77246
2000-03-07,25.73409652709961,26.481151423882785,25.478524309838225,26.245239161754654,4566900,2815340032.0,72450232140.0957
2000-03-08,24.849424362182617,25.61613917763107,24.73146823672901,25.399885081054364,5247750,2815340032.0,69959579179.00879
2000-03-09,25.517845153808594,25.5571650682872,24.554537846837285,24.77079017699796,3979500,2815340032.0,71841410991.89453
2000-03-10,24.751134872436523,25.655466077420456,24.45624445775353,25.163981452992715,5311350,2815340032.0,69682860843.80176
2000-03-13,25.183635711669922,25.537504129164112,24.259646554835484,24.416920807099174,4723350,2815340032.0,70900497770.36914
2000-03-14,24.849424362182617,25.45886314378117,24.692148328332717,25.32124886399705,4129650,2815340032.0,69959579179.00879
2000-03-15,26.146953582763672,26.48116215627198,24.279312884079406,24.495567078586355,8861700,2815340032.0,73612565136.40039
2000-03-16,28.348798751831055,28.42743679797797,26.48116000475541,26.717072343327843,15634950,2815340032.0,79811507985.1416
2000-03-17,28.6240291595459,29.017215765078706,27.837654148612092,28.073566471905416,11889150,2815340032.0,80586375170.00488
2000-03-20,27.228208541870117,28.46674801907953,26.579449768093756,28.309473764786674,8076150,2815340032.0,76656665507.57129
2000-03-21,28.938581466674805,29.095857569123122,26.894008333662455,27.188898775917526,8345550,2815340032.0,81471946872.42285
2000-03-22,28.800962448120117,28.97789668473,27.916291265070708,28.506072053770314,8604150,2815340032.0,81084502540.32129
2000-03-23,30.9831600189209,31.199414247645045,28.604377901905192,28.624037868117043,10431450,2815340032.0,87228130719.12988
2000-03-24,30.25575828552246,31.690890519556383,30.196780199195906,30.511328793025292,9489000,2815340032.0,85180247499.74707
2000-03-27,29.783924102783203,30.472002757214803,29.43005569760162,30.196770575495048,4828950,2815340032.0,83851873836.61523
2000-03-28,29.646303176879883,30.118127640171696,29.29243482941102,29.48902895573844,7325700,2815340032.0,83464424134.67871
2000-03-29,28.427438735961914,29.724956686565985,28.09323016682307,29.64631863505808,9088350,2815340032.0,80032906280.58105
2000-03-30,27.365829467773438,28.545391082763672,27.031620943482267,28.13254451751709,8017200,2815340032.0,77044115209.50781
2000-03-31,27.42481231689453,27.798340826543168,27.051283807245895,27.680384644535017,6805050,2815340032.0,77210171985.83984
2000-04-03,29.095857620239258,29.25313192309546,27.621405406373558,27.660723532120503,8509500,2815340032.0,81914732723.63184
2000-04-04,27.42951774597168,29.049994216940807,26.243803696300628,28.9314228119737,12638700,2815340032.0,77223419368.68848
2000-04-05,27.310956954956055,27.48881413152796,26.63905327185558,26.63905327185558,7310700,2815340032.0,76889630427.5166
2000-04-06,27.646913528442383,27.903817160033512,27.449293819385634,27.508579551176965,4853400,2815340032.0,77835462417.86621
2000-04-07,27.310956954956055,27.903814210195744,27.192385503908117,27.903814210195744,4914150,2815340032.0,76889630427.5166
2000-04-10,27.86427879333496,28.160707291136397,26.915707600370368,27.034278999490944,7864950,2815340032.0,78447419549.68457
2000-04-11,27.19239616394043,27.785253651593617,26.876206710030374,27.50858742710795,8217150,2815340032.0,76555841486.34473
2000-04-12,27.44928741455078,28.753573209626627,27.3504784877063,27.80500172229874,9133350,2815340032.0,77279077708.0586
2000-04-13,26.718097686767578,27.429526339455975,26.63905126486217,27.19238345522651,6781050,2815340032.0,75220529996.44336
2000-04-14,24.939538955688477,26.046207527384244,23.95144369669928,25.927636023935236,13084500,2815340032.0,70213282401.57324
2000-04-17,24.86048126220703,25.117384864119,23.694527465504738,24.504766912553464,8708700,2815340032.0,69990708112.27734
2000-04-18,25.45332145690918,25.59165351624874,24.682607549068234,24.74189323428677,6833400,2815340032.0,71659754845.00098
2000-04-19,24.662857055664062,25.611428480881912,23.911905280452068,25.532380259028287,9057150,2815340032.0,69434328772.30469
2000-04-20,24.445478439331055,24.72214452153854,24.10952482958996,24.70238201236067,4540650,2815340032.0,68822334051.6416
2000-04-24,23.63525390625,24.168825705373802,23.53644491690556,24.030493482143118,7792800,2815340032.0,66541276488.75
2000-04-25,24.6826229095459,24.840717565428868,23.79333707784797,23.95143173373094,6327150,2815340032.0,69489976372.00488
2000-04-26,24.16880989074707,24.900000999369613,24.089763474697843,24.900000999369613,5500500,2815340032.0,68043418011.21777
2000-04-27,23.358579635620117,23.872388736871255,23.180722430272755,23.753817266639683,9298200,2815340032.0,65762344338.82129
2000-04-28,22.805246353149414,23.61548596937771,22.686674878506942,23.47715197920912,8603250,2815340032.0,64204522997.643555
2000-05-01,23.31905174255371,23.83286074084626,22.627383765296667,22.923812381476345,8439750,2815340032.0,65651059879.09082
2000-05-02,24.069995880126953,24.346661896353385,23.20047282251808,23.33880492600324,8411250,2815340032.0,67765222971.396484
2000-05-03,23.47713851928711,24.26761516679291,23.47713851928711,23.773567035944772,9320550,2815340032.0,66096127910.1582
2000-05-04,23.160953521728516,23.852621446643997,23.04238208422947,23.753810709223757,6172200,2815340032.0,65205959629.01367
2000-05-05,22.825010299682617,23.00286752279703,22.29143863033939,22.765724558644482,14505150,2815340032.0,64260165227.50879
2000-05-08,22.765722274780273,23.141199200106257,22.548341849200522,22.64715080459913,5497650,2815340032.0,64093249277.58301
2000-05-09,22.410003662109375,22.98309839077087,22.410003662109375,22.844766241003065,6378000,2815340032.0,63091780427.203125
2000-05-10,21.738101959228516,22.350721816343047,21.738101959228516,22.350721816343047,6616050,2815340032.0,61200148665.51367
2000-05-11,22.133338928222656,22.35071932654464,21.65905310696972,22.15309963127031,7853100,2815340032.0,62312875126.44922
2000-05-12,22.647146224975586,23.04238377590356,21.540479996823247,21.85666931386295,12221850,2815340032.0,63759417377.731445
2000-05-15,23.59571647644043,23.773573635810582,22.785478909061922,23.002859278539916,6703200,2815340032.0,66429965179.84473
2000-05-16,23.47713851928711,24.24785266259704,23.299281409292508,24.228090158401166,7925100,2815340032.0,66096127910.1582
2000-05-17,23.398103713989258,23.69453240043869,23.10167502753983,23.160960764829714,4350600,2815340032.0,65873618058.881836
2000-05-18,23.753816604614258,24.149056033875443,23.31905576538676,23.31905576538676,5156250,2815340032.0,66875070799.756836
2000-05-19,22.923812866210938,23.694527284575216,22.84476643972934,23.59571834684486,5114550,2815340032.0,64538328048.32031
2000-05-22,22.825010299682617,23.160962229146314,22.29143863033939,23.160962229146314,4164600,2815340032.0,64260165227.50879
2000-05-23,23.12142562866211,23.575948777251266,22.74594888288904,22.74594888288904,5208750,2815340032.0,65094675169.2832
2000-05-24,22.647146224975586,23.22024094520965,22.2914318863634,22.923812329699498,8573100,2815340032.0,63759417377.731445
2000-05-25,22.212392807006836,23.319061300514033,22.054298083330423,22.765727053760436,7721400,2815340032.0,62535438676.075195
2000-05-26,22.291431427001953,22.52857431452325,21.935717095720005,22.25190821550062,6163950,2815340032.0,62757959267.021484
2000-05-30,23.23999786376953,23.23999786376953,22.48904615493042,22.64714077540806,4197750,2815340032.0,65428496329.46484
2000-05-31,23.615482330322266,23.8328627305836,23.081910776652485,23.081910776652485,4983150,2815340032.0,66485612779.54492
2000-06-01,24.386192321777344,24.741906625615638,23.852620866019905,23.99095300023046,8779650,2815340032.0,68655423471.55078
2000-06-02,25.51262664794922,26.04619822286116,25.295244429776783,26.04619822286116,8867400,2815340032.0,71826719123.4414
2000-06-05,25.097618103027344,25.65095019606779,25.05809308976995,25.45333236680605,4890450,2815340032.0,70658328953.30078
2000-06-06,24.346670150756836,25.097623863945852,24.18857548920707,25.097623863945852,5546850,2815340032.0,68544155121.325195
2000-06-07,24.30715560913086,24.801204090451016,24.228107345527572,24.48501284529523,5901150,2815340032.0,68432908250.43945
2000-06-08,24.188568115234375,24.564044857363434,23.832853878245633,24.564044857363434,3975150,2815340032.0,68099044131.578125
2000-06-09,23.180721282958984,24.860484297853258,22.56810144733136,24.346673412775782,10294950,2815340032.0,65261612598.54883
2000-06-12,23.047327041625977,23.595720032327044,22.854648423271545,23.417862846153724,5142600,2815340032.0,64886062450.88574
2000-06-13,22.854644775390625,23.00285907354491,22.587859038712914,22.943573354283195,5649900,2815340032.0,64343596353.296875
2000-06-14,23.743934631347656,23.89214895488915,22.88429155480698,23.18072020188997,5920600,2815340032.0,66847249684.82422
2000-06-15,23.151065826416016,23.654994275902663,22.113566077472917,23.625351425932863,9911800,2815340032.0,65178122404.57617
2000-06-16,21.55036735534668,22.261796263913833,20.92786706035042,22.172867650342937,16619900,2815340032.0,60671611919.81348
2000-06-19,22.23214340209961,22.469286265055338,21.40214338175456,21.520714813232424,7731000,2815340032.0,62591043317.0957
2000-06-20,22.7360782623291,23.032506922854907,22.52857819996104,22.76572112838168,5643600,2815340032.0,64009791302.62012
