,Close,High,Low,Open,Volume,SharesOutstanding,MarketCap
2000-01-03,35.44361114501953,36.070763513805396,34.05627408679624,35.69067116908669,53228400,7434880000.0,263518995629.8828
2000-01-04,34.2463264465332,35.61465913474097,34.13229872251589,34.53139575657649,54119000,7434880000.0,254617327570.80078
2000-01-05,34.607421875,35.38661149437122,33.25809350974739,33.79022300590335,64059600,7434880000.0,257302028750.0
2000-01-06,33.44813537597656,34.62642196308483,32.954015194286,34.11329715902155,54976600,7434880000.0,248682872744.14062
2000-01-07,33.885223388671875,34.13228334607666,32.63091898953988,33.03001584380915,62013600,7434880000.0,251932569667.96875
2000-01-10,34.13230514526367,34.5694115029146,33.86624040582398,34.49339300593183,44963600,7434880000.0,253769592878.41797
2000-01-11,33.25809097290039,34.740451599121094,33.04904011535645,33.904248168945315,46743600,7434880000.0,247269915412.59766
2000-01-12,32.17482376098633,33.10605020179456,31.756722093684676,32.99202247434865,66532400,7434880000.0,239215953684.08203
2000-01-13,32.78297424316406,33.030034338909644,30.86350734544837,31.737719991932742,83144000,7434880000.0,243737479541.01562
2000-01-14,34.13230514526367,34.64542999989737,32.155824223711654,32.59293058136258,73416400,7434880000.0,253769592878.41797
2000-01-18,35.06352233886719,35.42461010279048,33.980259047097306,33.99926366625117,81483600,7434880000.0,260693080966.79688
2000-01-19,32.53590393066406,33.90423633896302,32.231830062153186,33.60016247045214,97568200,7434880000.0,241900541416.01562
2000-01-20,32.231842041015625,33.35311484786699,32.19383279332575,32.55492064637958,56349800,7434880000.0,239639877753.90625
2000-01-21,31.547683715820312,32.61194292551064,31.395646685864552,32.53592441053276,68416200,7434880000.0,234553242705.07812
2000-01-24,30.78748893737793,32.136817156238315,30.654456577771974,31.561927316512588,63597600,7434880000.0,228901285750.73242
2000-01-25,31.262603759765625,31.585682339653783,30.2743633977548,30.711469711721126,59823200,7434880000.0,232433707441.40625
2000-01-26,30.21734619140625,31.471651127653303,30.14132771042158,31.148572583468457,49365000,7434880000.0,224662342851.5625
2000-01-27,30.02729606628418,30.76847615905955,29.571185239960876,30.374130340467524,63654800,7434880000.0,223249342977.29492
2000-01-28,29.875247955322266,30.483395496397527,29.57117418478463,29.83723873400506,58225400,7434880000.0,222118883518.0664
2000-01-31,29.7612247467041,29.85624781422231,28.84900329852926,29.68520629268953,73194200,7434880000.0,221271134644.7754
2000-02-01,31.300600051879883,31.395623124289962,29.704212435390563,29.951272423656768,70196600,7434880000.0,232716205313.7207
2000-02-02,30.65445327758789,31.60468431533085,30.559430173813592,31.148573417214227,49915600,7434880000.0,227912181584.47266
2000-02-03,31.509654998779297,31.680696551848666,30.44539644634767,31.034539573586606,49186000,7434880000.0,234270503757.32422
2000-02-04,32.40287399291992,32.839980211006235,31.66644503853538,31.737712356701625,55365400,7434880000.0,240911479792.48047
2000-02-07,32.42189407348633,32.49791258245113,31.69971823832075,32.47890795520993,40005800,7434880000.0,241052891809.08203
2000-02-08,33.429107666015625,33.448112275262936,32.36484954816635,32.36484954816635,56229000,7434880000.0,248541404003.90625
2000-02-09,31.62368392944336,33.277085673350555,31.58567469395124,33.277085673350555,55090000,7434880000.0,235118295173.33984
2000-02-10,32.231842041015625,32.40288365562007,31.16758310569907,31.590435986248952,54527800,7434880000.0,239639877753.90625
2000-02-11,30.388381958007812,31.889746670129522,30.141321942089046,31.889746670129522,115559000,7434880000.0,225933973251.95312
2000-02-14,30.293373107910156,30.93953037620937,30.122331478066247,30.782742215519118,81028600,7434880000.0,225227593852.53906
2000-02-15,29.970273971557617,30.407380059918953,29.837241683795472,30.331361609769157,71027600,7434880000.0,222825390545.6543
2000-02-16,29.685230255126953,30.464420037751925,29.533193224370862,30.179350605084252,65202600,7434880000.0,220706124719.23828
2000-02-17,30.293373107910156,30.31237773344837,29.53793924276622,29.951289848222338,80343400,7434880000.0,225227593852.53906
2000-02-18,28.906015396118164,30.426384384737133,28.84900155904495,30.407379772379393,79063000,7434880000.0,214912755748.29102
2000-02-22,28.525922775268555,29.533167217033537,28.221848981528186,28.925019629552793,66296200,7434880000.0,212086812723.38867
2000-02-23,28.658952713012695,29.115063366270192,27.993791343678847,28.430897386383947,75847200,7434880000.0,213075874346.92383
2000-02-24,28.81099510192871,29.153078157228656,27.97479207786218,28.65895818846207,69733200,7434880000.0,214206291263.42773
2000-02-25,27.765743255615234,28.79674364686584,27.51868325402523,28.791992492989106,65301400,7434880000.0,206434969216.3086
2000-02-28,27.841764450073242,28.012806006421812,26.79651049460974,27.442667485259904,76131800,7434880000.0,207000177674.56055
2000-02-29,27.176593780517578,27.898768999860003,27.024556892234962,27.898768999860003,58437400,7434880000.0,202054713566.89453
