,Close,High,Low,Open,Volume,SharesOutstanding,MarketCap
2000-01-03,26.633140563964844,26.81949490027247,26.26043189134959,26.788435844221198,4275000,2355040000.0,62722111353.759766
2000-01-04,26.120676040649414,26.928211804093987,25.77902629457671,26.431266718897326,4270800,2355040000.0,61515236902.770996
2000-01-05,25.623722076416016,26.18278510353782,25.468426791104402,26.05854887528853,5098400,2355040000.0,60344890438.84277
2000-01-06,26.803958892822266,27.192196999612854,26.105130300599203,26.120659824870827,6524200,2355040000.0,63124395350.95215
2000-01-07,28.947036743164062,29.071272952362193,27.130082183641427,27.22325934054002,9832000,2355040000.0,68171429411.62109
2000-01-10,28.807273864746094,29.148923473923674,28.41903567249884,28.776214809366312,6862000,2355040000.0,67842282242.43164
2000-01-11,29.25763702392578,29.25763702392578,28.434571863486255,28.667514833421972,4421800,2355040000.0,68902905496.82617
2000-01-12,29.071277618408203,29.41292724853907,28.853864217415833,28.97810044655433,6231600,2355040000.0,68464021642.456055
2000-01-13,28.5743350982666,29.071280056497326,28.46562838865363,29.040220996607903,5285200,2355040000.0,67293702129.82178
2000-01-14,29.071277618408203,29.071277618408203,28.667509873708088,28.698568930992714,4904400,2355040000.0,68464021642.456055
2000-01-18,29.055742263793945,29.319744197778174,28.838328906395166,29.055742263793945,4456800,2355040000.0,68427435260.92529
2000-01-19,28.746185302734375,28.90190678324756,28.29459300924613,28.403598045605364,5553400,2355040000.0,67698416235.35156
2000-01-20,28.045427322387695,28.465875150097006,26.815228122793787,28.403586583028957,10231800,2355040000.0,66048103161.31592
2000-01-21,25.585033416748047,28.061004392562374,24.790854047147224,28.061004392562374,24378800,2355040000.0,60253777097.77832
2000-01-24,25.69403839111328,27.12667568322384,23.622943175344755,23.918813920454546,28554600,2355040000.0,60510488172.60742
2000-01-25,24.292545318603516,25.83418761766874,24.167968163123497,25.818615473233738,17097800,2355040000.0,57209915927.12402
2000-01-26,25.07113265991211,25.117849056172815,24.61954082939195,24.666257225652657,10243200,2355040000.0,59043520259.399414
2000-01-27,25.927616119384766,26.021048970265433,25.21129759596633,25.413735439541103,8989000,2355040000.0,61060573065.7959
2000-01-28,24.99327278137207,25.834167940371504,24.759690792761116,25.834167940371504,9583400,2355040000.0,58860157131.04248
2000-01-31,25.180152893066406,25.19572503462056,24.510550806237802,24.977715052862408,4518200,2355040000.0,59300267269.28711
2000-02-01,24.790851593017578,25.13343873814722,24.60398587749232,25.086722309265905,4044200,2355040000.0,58383447135.62012
2000-02-02,24.57283592224121,24.91542298833076,24.49497522540268,24.85313443085993,3920800,2355040000.0,57870011510.31494
2000-02-03,24.370399475097656,24.868707962767385,24.090100950783434,24.868707962767385,6259600,2355040000.0,57393265579.833984
2000-02-04,23.607364654541016,24.33925524739288,23.420498971259686,24.323683107119436,7647800,2355040000.0,55596288056.03027
2000-02-07,23.2336368560791,23.62294042270241,23.062343286764847,23.42050256805829,6464400,2355040000.0,54716144141.54053
