,Close,High,Low,Open,Volume,SharesOutstanding,MarketCap
2008-03-19,12.416169166564941,15.16310924766338,12.086536356833129,13.075434786028568,708486000,1948039936.0,24187193388.60034
2008-03-20,14.14124584197998,14.284087047777557,12.635923157649378,12.83370315978456,198985200,1948039936.0,27547711644.970947
2008-03-24,13.12597942352295,14.877427988038498,12.965558210664918,14.77634078623201,149566400,1948039936.0,25569932116.136963
2008-03-25,13.899518966674805,14.119274207254643,13.145758424421981,13.312772876710499,87092000,1948039936.0,27076818038.271973
2008-03-26,14.05554485321045,14.169818516125654,13.530329967325557,13.785246010452523,43111600,1948039936.0,27380762696.293213
2008-03-27,13.824809074401855,14.226960930132885,13.76767305209094,14.075330878288556,39829600,1948039936.0,26931280184.51001
2008-03-28,13.791839599609375,13.94127324185745,13.659986780355087,13.925890440887775,24675200,1948039936.0,26867054330.945312
2008-03-31,13.703935623168945,13.950061234303384,13.635811203331,13.756676406405079,22157200,1948039936.0,26695813874.306152
2008-04-01,13.539122581481934,13.99401593214271,13.25344089259978,13.857767896823502,60410800,1948039936.0,26374751487.12622
2008-04-02,13.695144653320312,13.695144653320312,13.295190237215163,13.563291862320664,43836400,1948039936.0,26678688713.964844
2008-04-03,14.393965721130371,14.56757253178323,13.585266511260913,13.613834922225204,100868000,1948039936.0,28040020062.177002
2008-04-04,14.169817924499512,14.354411512363782,14.009395869389458,14.262114718431647,36394400,1948039936.0,27603371202.77368
2008-04-07,14.292885780334473,14.459900287915131,14.068734421839384,14.306070562622425,28301600,1948039936.0,27843112300.778076
2008-04-08,14.963134765625,14.996098389762052,14.242337785079517,14.262116630201575,53925600,1948039936.0,29148784091.1875
2008-04-09,14.457700729370117,15.101583796093054,14.418144710108647,15.040052583152946,48324400,1948039936.0,28164178403.549316
2008-04-10,14.528019905090332,14.66426876548051,14.308264652163961,14.53900833837646,22372000,1948039936.0,28301162966.118896
2008-04-11,14.528019905090332,14.673057500189984,14.33903025344569,14.33903025344569,26421600,1948039936.0,28301162966.118896
2008-04-14,14.433527946472168,14.776345672625816,14.400564316665118,14.657677611280354,28443600,1948039936.0,28117088857.099854
2008-04-15,14.14124584197998,14.624708255710319,14.064331862427133,14.567571438071486,23888000,1948039936.0,27547711644.970947
2008-04-16,14.534612655639648,14.712613878421887,14.187398945003064,14.187398945003064,25136800,1948039936.0,28314005907.47705
2008-04-17,14.732399940490723,14.888426049186833,14.506052181725938,14.560991023235852,22459600,1948039936.0,28699303437.19995
2008-04-18,15.163116455078125,15.481760985305721,14.767556224740447,14.945559166692385,104099600,1948039936.0,29538356408.710938
2008-04-21,15.596028327941895,15.932253548361782,15.130146655089918,15.26859351756819,58848000,1948039936.0,30381686025.818115
2008-04-22,15.444401741027832,15.910283566283931,15.382870527175104,15.804800287822234,47357600,1948039936.0,30086311379.150146
2008-04-23,15.400449752807617,15.756452217850137,15.314745331475184,15.591635765041664,37319600,1948039936.0,30000691150.830566
2008-04-24,15.888310432434082,16.03994046434657,15.391662935853915,15.646578237240163,38086800,1948039936.0,30951063237.94702
2008-04-25,16.503620147705078,16.718981046172754,16.242112521151014,16.701400222502,101460000,1948039936.0,32149711136.30371
2008-04-28,16.620086669921875,16.984881139558045,16.45966629836324,16.811274314723885,132517200,1948039936.0,32376592572.789062
2008-04-29,17.7738037109375,17.7738037109375,15.602622481830428,16.29485184275266,197308400,1948039936.0,34624079443.53125
2008-04-30,18.338581085205078,18.637448459452308,17.815564018572456,17.888083677750107,147543600,1948039936.0,35724288323.55371
2008-05-01,18.767099380493164,19.259350689279337,18.437466493282862,18.54514610032368,116395600,1948039936.0,36559059076.08154
2008-05-02,18.18474769592285,19.228585176957697,17.800175992383696,19.182436773724948,136648800,1948039936.0,35424614737.7417
